title,year,organization
A Transaction Oriented Mechanism to Control Processing in a Knowledge Base Management System.,1988,University of Maryland
Deep Compilation of Large Rule Bases.,1988,University of Maryland
The Michigan Benchmark: A Microbenchmark for XML Query Processing Systems.,2002,University of Michigan
GPS and 3DOF Tracking for Georeferenced Registration of Construction Graphics in Outdoor Augmented Reality.,2006,University of Michigan
"Wireless Sensing, Actuation and Control - With Applications to Civil Structures.",2006,University of Michigan
Community-Based E-Government: Libraries as E-Government Partners and Providers.,2010,University of Maryland
Building Journal Excellence through Quality Reviews: How to Review a Manuscript.,2013,University of Maryland
Relative Constraints in ER Data Models.,1993,University of Michigan
WebDG - A Platform for E-Government Web Services.,2004,University of Michigan
Issues in Multiple Database Environmemnts (Panel).,1983,University of Michigan
REF: A Practical Agent-Based Requirement Engineering Framework.,2003,University of Maryland
Association: A Database Abstraction for Semantic Modelling.,1981,University of Maryland
Silver Bullet Shy on Legacy Mountain: When Neat Technology Just Doesn't Work - or - Miracles to Save the Realm: Faustian Bargains or Noble Pursuits.,1997,University of Maryland
Bless the ODS.,2003,University of Maryland
Conceptual Design of Electronic Product Catalogs Using Object-Oriented Hypermedia Modeling Techniques.,2000,University of Maryland
Conceptual Representation of Data and Logical IMS Design.,1981,University of Maryland
E-R Modeling versus Binary Modeling (Panel).,1987,University of Michigan
An Approach to Designing an Entity-Relationship Schema.,1979,University of Michigan
Database Management Systems: Paradigm Shift or Changing Paradigm.,1991,University of Michigan
Database Conceptual Modelling.,1979,University of Maryland
Progessive Fragment Allocation.,1991,University of Michigan
"Integration of Data, Schema and Meta-Schema in the Context of Self-Documenting Data Models.",1983,University of Maryland
Applying Transformations to Model Driven Development of Web Applications.,2005,University of Maryland
From Conceptual Modeler to University President.,1997,University of Michigan
From Object Oriented Conceptual Modeling to Automated Programming in Java.,1998,University of Maryland
Policy Models for Data Sharing.,2006,University of Maryland
Applications of the Entity-Relationship Approach.,1981,University of Michigan
Application of the Entity-Relationship Approach to Information Processing Systems Modelling.,1979,University of Michigan
ER Standards Proposal.,1990,University of Michigan
Automatically Grounding Semantically-Enriched Conceptual Models to Concrete Web Services.,2005,Tel Aviv University
Generating and Optimizing Graphical User Interfaces for Semantic Service Compositions.,2008,Tel Aviv University
The ORAC Model: A Unified View of Data Abstraction.,1991,University of Michigan
Systematic Derivation of Software Requirements.,1979,University of Maryland
Repairing Unsatisfiable Concepts in OWL Ontologies.,2006,University of Maryland
Web Service Composition with User Preferences.,2008,University of Maryland
Annotated RDF.,2006,University of Maryland
BioNav: An Ontology-Based Framework to Discover Semantic Links in the Cloud of Linked Data.,2010,University of Maryland
Réconciliation des profils dans les réseaux sociaux.,2014,University of Maryland
Mining the Crowd.,2014,Tel Aviv University
Vers des Machines à Vecteurs Support Actionnables : Une Approche Fondée sur le Classement.,2008,University of Maryland
Estimating Selectivity Factors of Spatial Operations.,1993,University of Maryland
Deontic Action Programs.,1998,University of Maryland
Efficient Multiresolution Image Processing on Hypercube Connected SIMD Machines.,1989,University of Maryland
Fast Exchange Sorts.,1989,Tel Aviv University
Dynamic Selectivity Estimation for Multidimensional Queries.,1993,University of Michigan
Design of an Integrated DBMS to Support Advanced Applications.,1985,University of Michigan
ROOST: A Relational Object Oriented System.,1989,University of Maryland
Modeling Paraconsistent Reasoning by Classical Logic.,2002,Tel Aviv University
Database Repair by Signed Formulae.,2004,Tel Aviv University
Inconsistency-Tolerance in Knowledge-Based Systems by Dissimilarities.,2012,Tel Aviv University
Improving Supervised Learning by Feature Decomposition.,2002,Tel Aviv University
Plan Databases: Model and Algebra.,2004,University of Maryland
Active XML and Active Query Answers.,2004,Tel Aviv University
An Augmented Visual Query Mechanism for Finding Patterns in Time Series Data.,2002,University of Maryland
Term Disambiguation in Natural Language Query for XML.,2006,University of Michigan
Flexible Intensional Query-Answering for RDF Peer-to-Peer Systems.,2006,University of Maryland
An Overview of Cooperative Answering in Databases.,1998,University of Maryland
Information Retrieval System for Medical Narrative Reports.,2004,Tel Aviv University
Non-Uniform Mesh Simplification Using Adaptative Merge Procedures.,2004,Tel Aviv University
Corporate Information Network (COIN): The Fraunhofer IESE Experience Factory.,2001,University of Michigan
Der Thesaurus als Datenbank.,1980,University of Michigan
Structured toponym resolution using combined hierarchical place categories.,2013,University of Maryland
"Itinerary retrieval: travelers, like traveling salesmen, prefer efficient routes.",2014,University of Maryland
"Geotagging: using proximity, sibling, and prominence clues to understand comma groups.",2010,University of Maryland
Using minimaps to enable toponym resolution with an effective 100% rate of recall.,2014,University of Maryland
HLDB: location-based services in databases.,2012,Tel Aviv University
Ontuition: intuitive data exploration via ontology navigation.,2010,University of Maryland
Similarity search on a large collection of point sets.,2011,University of Maryland
Searching web documents as location sets.,2011,University of Maryland
GeoWhiz: toponym resolution using common categories.,2013,University of Maryland
Automated tabular itinerary visualization.,2014,University of Maryland
A Cost Model for Query Optimization Using R-Trees.,1994,University of Maryland
A Window Retrieval Algorithm for Spatial Databases Using Quadtrees.,1995,University of Maryland
Cascaded Spatial Join Algorithms with Spatially Sorted Output.,1996,University of Maryland
World of workout: a contextual mobile RPG to encourage long term fitness.,2013,University of Michigan
Efficient position-independent iconic search using an R-theta index.,2006,University of Maryland
Indexing planar point quartets via geometric attributes.,2008,University of Maryland
